Make,Model,Year,Price,Mileage,Body Type,Location,Anomaly_Score,Is_Anomaly
land-rover,range-rover,2010,147413,51135,SUV,Dubai,0.16952319831823515,False
mercedes-benz,s-class,2017,41108,299068,Sedan,Dubai,0.1308544855867943,False
suzuki,kizashi,2008,26485,256337,Sedan,Dubai,0.16523588739130768,False
toyota,prado,2010,121251,218125,SUV,Sharjah,0.20290153084986262,False
lincoln,navigator,2024,1186097,185898,SUV,Dubai,0.025673985957815892,False
hyundai,azera,2022,72404,190530,Sedan,Dubai,0.1810856319570785,False
mercedes-benz,e-class,2006,273876,137443,Coupe,Sharjah,0.1546103857095642,False
bmw,x6,2008,211781,152869,SUV,Dubai,0.17206565341023267,False
toyota,prado,2024,165581,211218,SUV,Dubai,0.1499526747312333,False
audi,q8,2010,856148,246373,Hatchback,Dubai,0.0990399019225553,False
nissan,sunny,2009,18732,38653,Sedan,Dubai,0.15614324531516932,False
bentley,bentayga,2006,639348,217852,SUV,Dubai,-0.03183405112415749,True
land-rover,range-rover,2019,162663,186547,SUV,Dubai,0.17835029531723612,False
mercedes-benz,s-class-coupe,2012,354906,110402,Coupe,Dubai,0.17063013400601734,False
maybach,other,2014,1683182,176768,Sedan,Dubai,-0.02737887835504349,True
jeep,grand-cherokee,2013,211822,70843,SUV,Dubai,0.19684631296809801,False
mercedes-benz,gls-class,2022,1156447,94130,SUV,Dubai,0.055012049235322436,False
toyota,land-cruiser-76-series,2011,134242,69330,SUV,Abu Dhabi,0.20622647796908916,False
mercedes-benz,gle-coupe,2021,556885,222948,SUV,Dubai,0.113586574726948,False
hyundai,sonata,2014,61585,194809,Sedan,Dubai,0.20866602821615648,False
ford,bronco,2006,265251,112398,SUV,Dubai,0.1488967205848899,False
peugeot,expert,2009,31223,72164,Utility Truck,Dubai,0.18190488113570985,False
gmc,yukon,2022,233453,76257,SUV,Dubai,0.16033336933844744,False
toyota,hilux,2021,151613,113155,Pick Up Truck,Dubai,0.16798146177861883,False
bmw,7-series,2006,316052,156772,Sedan,Dubai,0.11481058348113793,False
jaguar,e-pace,2017,144665,274227,SUV,Dubai,0.15809849337428689,False
audi,tt,2016,44472,273308,Coupe,Dubai,0.17637684948998006,False
land-rover,range-rover,2024,168761,80757,SUV,Dubai,0.13391058254129828,False
honda,cr-v,2013,46524,84969,SUV,Abu Dhabi,0.20265653638985281,False
jaguar,xf,2019,78046,234589,Sedan,Dubai,0.18508417808123329,False
lexus,lx-series,2012,85379,233659,SUV,Sharjah,0.18066750056141295,False
audi,q7,2022,28401,165386,SUV,Dubai,0.16527660388157706,False
mercedes-benz,s-class,2020,717340,67821,Sedan,Dubai,0.09421555075073051,False
lexus,ls-series,2016,23376,175678,Sedan,Sharjah,0.18473097805694044,False
audi,a3,2017,69722,75665,Sedan,Dubai,0.20207505572958295,False
honda,accord,2022,47497,126540,Sedan,Dubai,0.17296445417817669,False
citroen,c5,2024,112539,280276,SUV,Dubai,0.11169722481212119,False
bmw,x5,2007,128256,256471,SUV,Dubai,0.17423563087408256,False
cadillac,ctscatera,2011,94590,150903,Sedan,Dubai,0.21586187063685253,False
infiniti,qx70,2017,65084,232545,SUV,Dubai,0.20449188693223275,False
cadillac,escalade,2010,569875,296315,SUV,Dubai,0.09098734618173365,False
nissan,patrol,2006,68580,50462,SUV,Dubai,0.14327552968642815,False
land-rover,range-rover,2020,460904,29781,SUV,Ajman,0.1112467969090738,False
bmw,5-series,2023,66361,258890,Sedan,Dubai,0.15367628297055974,False
porsche,boxster,2021,225017,181546,Soft Top Convertible,Abu Dhabi,0.02564454264952709,False
maserati,ghibli,2018,271423,218348,Sedan,Dubai,0.05567025224111677,False
cadillac,escalade,2008,473426,278862,SUV,Dubai,0.10865876673495856,False
chevrolet,camaro,2013,83164,86886,Sports Car,Dubai,0.21723622860695435,False
lexus,lx600,2010,785350,112823,SUV,Dubai,0.11386572837788667,False
land-rover,discovery-sport,2012,93184,217507,SUV,Dubai,0.1922824333611839,False
porsche,cayenne,2016,103167,122972,Sports Car,Abu Dhabi,0.0538664672769793,False
chevrolet,silverado,2022,125793,254824,SUV,Sharjah,0.15668511051970013,False
infiniti,qx56,2007,18535,42670,SUV,Sharjah,0.12689229866707774,False
lexus,lx-series,2006,95978,121781,SUV,Sharjah,0.156681037082112,False
jeep,grand-cherokee,2022,59471,127314,SUV,Dubai,0.18835654225850723,False
tesla,model-3,2015,261989,283297,Sedan,Dubai,0.12748854206115479,False
mercedes-benz,c-class,2014,109480,254602,Hard Top Convertible,Dubai,0.18429196462953773,False
cadillac,escalade,2011,448228,179069,SUV,Dubai,0.16062584636868377,False
jeep,grand-cherokee,2006,183459,219043,SUV,Dubai,0.1630358803787093,False
hyundai,tucson,2014,55190,277724,SUV,Dubai,0.1707421324062473,False
ford,focus,2007,29030,208124,Sedan,Dubai,0.16908558166084897,False
nissan,patrol,2010,132986,199988,SUV,Dubai,0.18420148561947858,False
bmw,x5,2009,78427,254351,SUV,Dubai,0.1659888123709629,False
ford,edge,2010,39454,231942,SUV,Abu Dhabi,0.19724597088348306,False
audi,q8,2017,237019,10346,SUV,Dubai,0.14634323617336337,False
land-rover,range-rover,2010,529636,262297,SUV,Dubai,0.12506810538739177,False
mercedes-benz,g-class,2013,483781,262575,SUV,Dubai,0.1433208009998792,False
mercedes-benz,gle-coupe,2022,670012,297489,SUV,Dubai,0.06103545285068712,False
nissan,altima,2009,28942,64638,Sedan,Dubai,0.1791167183992099,False
ferrari,458-italia,2018,672227,62271,Coupe,Dubai,0.0470828042609881,False
volvo,xc90,2011,17361,171555,SUV,Dubai,0.17686794962376978,False
nissan,patrol,2024,134991,265092,SUV,Abu Dhabi,0.12428015560635652,False
rolls-royce,wraith,2023,884378,86067,Coupe,Dubai,-0.044689201521639244,True
porsche,carrera,2022,212781,224288,Sports Car,Dubai,0.030285422063507705,False
mercedes-benz,c-class,2014,152164,191291,Sedan,Sharjah,0.1952393495012293,False
toyota,avanza,2021,31144,130536,Van,Dubai,0.18401040294344084,False
land-rover,range-rover,2024,362830,272263,SUV,Dubai,0.09149905248874324,False
audi,q5,2023,189574,15562,SUV,Dubai,0.1305228170748473,False
bmw,5-series,2007,68207,227510,Sedan,Dubai,0.1778547725539641,False
nissan,patrol,2012,212667,150220,SUV,Dubai,0.18969506714645196,False
land-rover,lr3,2012,23344,52952,SUV,Dubai,0.16415287064650314,False
mazda,3,2015,16635,218418,Sedan,Dubai,0.18451314134370306,False
toyota,land-cruiser,2013,136446,282843,SUV,Ajman,0.1710692695003712,False
ford,taurus,2007,66568,28139,Sedan,Dubai,0.16554424026781867,False
bentley,continental-flying-spur,2008,242854,172310,Sedan,Dubai,0.04972503404158224,False
land-rover,range-rover,2021,542598,133362,SUV,Dubai,0.13483625328182736,False
mercedes-benz,g-class,2021,893759,76951,SUV,Dubai,0.09066742670086836,False
mitsubishi,pajero,2013,77306,61805,SUV,Dubai,0.2057436360638049,False
mercedes-benz,g-class,2013,264781,80364,SUV,Dubai,0.18349010590559095,False
mercedes-benz,gl-class,2024,122472,272408,SUV,Dubai,0.11762375738734265,False
mitsubishi,pajero,2012,84249,86534,SUV,Dubai,0.2140716632954694,False
ferrari,california,2008,239144,12410,Hard Top Convertible,Dubai,0.01647670490934261,False
land-rover,range-rover,2013,386641,154652,SUV,Dubai,0.16926066405176876,False
nissan,370z,2019,39281,120587,Coupe,Abu Dhabi,0.20485665891105226,False
infiniti,qx60,2007,48795,193321,SUV,Dubai,0.18970192344458264,False
kia,quoris,2009,44675,241316,Sedan,Dubai,0.18849004917525314,False
land-rover,range-rover,2019,142351,24980,SUV,Dubai,0.15067888197496043,False
mercedes-benz,e-class,2013,82097,186382,Coupe,Dubai,0.21913328609275284,False
lamborghini,urus,2016,1355096,168796,SUV,Dubai,0.02490648577395027,False
chevrolet,tahoe,2022,76052,253929,SUV,Dubai,0.15206656453815948,False
ford,mustang,2022,91123,76175,Sports Car,Sharjah,0.16598139298005177,False
infiniti,q80,2005,219976,244918,SUV,Dubai,0.12434105669364781,False
land-rover,defender,2010,382750,290413,SUV,Dubai,0.11900166151850144,False
mitsubishi,pajero,2012,55306,289543,SUV,Dubai,0.15886185893074456,False
renault,dokker,2011,38507,171420,Van,Sharjah,0.2034175383997574,False
land-rover,range-rover-sport,2016,114314,150367,SUV,Dubai,0.2180006253003638,False
land-rover,range-rover,2018,190414,239067,SUV,Dubai,0.17243469544986773,False
jeep,grand-cherokee,2007,178196,143387,Sedan,Dubai,0.18494081921669547,False
nissan,patrol,2008,133981,140075,SUV,Dubai,0.19965744554622816,False
mazda,cx-9,2024,25350,25558,SUV,Sharjah,0.13600258530887976,False
mercedes-benz,c-class,2014,230843,248037,Sedan,Dubai,0.16044926879029986,False
nissan,patrol,2010,86011,218081,Other,Abu Dhabi,0.18146539589473637,False
lexus,lx-series,2008,117725,181073,SUV,Abu Dhabi,0.17986280746589117,False
bentley,bentayga,2006,471537,103982,SUV,Dubai,-0.03577140528191547,True
gmc,acadia,2020,38837,39804,SUV,Dubai,0.18211049151163466,False
mini,countryman,2019,186936,283349,Hatchback,Dubai,0.12948562716483825,False
dodge,charger,2009,59021,51082,Sedan,Dubai,0.1829358037833882,False
gmc,yukon,2008,119217,93047,SUV,Dubai,0.17311316346840755,False
dodge,charger,2014,56762,124783,Sports Car,Ajman,0.19071448188886098,False
mitsubishi,pajero,2010,37484,245474,SUV,Sharjah,0.19114262413225802,False
mercedes-benz,glc,2022,162874,161773,Crossover,Dubai,0.16361950768621036,False
land-rover,range-rover,2022,28945,168272,SUV,Dubai,0.16499231834510802,False
mercedes-benz,cls-class,2013,95633,114222,Sedan,Dubai,0.21741733533545865,False
honda,civic,2016,43939,30405,Sedan,Abu Dhabi,0.18105773445953693,False
mercedes-benz,e-class,2005,57029,287356,Sedan,Dubai,0.13012329908736214,False
cadillac,ats,2024,53214,287819,Sedan,Ajman,0.10741518029602692,False
mitsubishi,attrage,2012,23363,51288,Sedan,Dubai,0.14087290212734965,False
ford,f-series-pickup,2013,105833,249818,SUV,Abu Dhabi,0.1828653003233413,False
bmw,7-series,2005,68420,210361,Sedan,Dubai,0.13496365771375635,False
maserati,levante,2005,260028,167163,SUV,Dubai,0.030524078623891948,False
bmw,x5,2013,253369,299366,SUV,Dubai,0.13999484699884135,False
lexus,lx-series,2014,91278,214068,SUV,Abu Dhabi,0.18900872790966267,False
jeep,wrangler-unlimited,2022,107223,280600,Hard Top Convertible,Dubai,0.15903402758596275,False
ford,f-series-pickup,2012,146209,182410,Pick Up Truck,Dubai,0.21086444239742108,False
ford,escape,2016,37042,71013,SUV,Dubai,0.19716582777763952,False
porsche,cayenne,2010,384290,247794,SUV,Dubai,0.03152872768405479,False
ford,mustang,2023,122871,188323,Coupe,Dubai,0.1641672784894001,False
audi,q5,2011,86734,247991,SUV,Dubai,0.19599606117939083,False
kia,optima,2023,39241,247893,Sedan,Dubai,0.16314361128988597,False
nissan,patrol,2017,142314,145955,SUV,Dubai,0.19791221918524166,False
audi,a3,2015,50311,261661,Sedan,Dubai,0.1845892886304608,False
nissan,sunny,2012,17486,73940,Sedan,Abu Dhabi,0.1909418827251091,False
lincoln,mkx,2016,28982,139936,SUV,Dubai,0.20967380233984612,False
nissan,patrol,2023,140141,109434,SUV,Dubai,0.17830323551921162,False
nissan,patrol,2010,122889,111054,SUV,Dubai,0.1907807103635929,False
honda,crosstour,2006,57246,226674,Crossover,Dubai,0.17401941647256236,False
volkswagen,golf,2010,56507,294238,Hatchback,Dubai,0.13917314812867382,False
lexus,ls-series,2023,29006,257228,Sedan,Sharjah,0.1355256135528185,False
mercedes-benz,gle-class,2013,345388,272438,SUV,Dubai,0.10746436762938227,False
audi,a8,2007,123363,264738,Sedan,Dubai,0.17238063606624748,False
nissan,maxima,2016,48967,68542,Sedan,Dubai,0.20978572024021547,False
honda,accord,2017,34064,197694,Sedan,Dubai,0.20089547212056186,False
honda,civic,2023,63058,52486,Sedan,Dubai,0.14996032421588035,False
kia,optima,2005,41168,78847,Sedan,Dubai,0.146980950005761,False
mercedes-benz,g-class,2006,1146454,111307,SUV,Dubai,0.034381766285161985,False
audi,a6,2016,50809,84300,Sedan,Dubai,0.21208050175251264,False
lexus,rx-series,2017,86697,159239,SUV,Abu Dhabi,0.21662508294154637,False
bmw,7-series,2009,420664,64060,Sedan,Abu Dhabi,0.14005632386333244,False
mitsubishi,pajero,2021,55658,69438,SUV,Dubai,0.1903777493017127,False
ford,escape,2019,39149,149479,SUV,Dubai,0.19365212801485876,False
mercedes-benz,e-class,2012,38472,52731,Coupe,Dubai,0.188428588894121,False
jeep,wrangler-unlimited,2012,235245,254697,SUV,Dubai,0.17362284546572354,False
nissan,versa,2019,22157,220922,Sedan,Dubai,0.1764279037192955,False
bmw,4-series,2017,112194,180741,Sedan,Dubai,0.20209147394540705,False
mercedes-benz,c-class,2015,277601,162847,Sedan,Dubai,0.16127158904522643,False
ford,edge,2023,78096,212645,SUV,Dubai,0.17899148082023314,False
nissan,patrol,2015,144029,293852,SUV,Sharjah,0.15855327568881017,False
toyota,hiace,2020,113598,108181,Pick Up Truck,Ajman,0.20002394227210762,False
toyota,hiace,2011,43588,56465,Van,Dubai,0.18856105424569536,False
dodge,durango,2014,51141,187503,SUV,Dubai,0.2193177805838467,False
bmw,3-series,2024,20308,211980,Sedan,Dubai,0.12563336764244448,False
jeep,grand-cherokee,2018,51017,158954,SUV,Sharjah,0.21414298590304764,False
lotus,evora,2011,390380,66282,Coupe,Dubai,0.15812798589537597,False
mitsubishi,pajero,2019,31023,156229,SUV,Dubai,0.20404246985927582,False
lexus,es-series,2012,159447,209521,Sedan,Sharjah,0.20169657130124402,False
ferrari,488-gtb,2017,918517,35186,Coupe,Dubai,0.021576395310503704,False
bmw,x6,2016,175795,178316,SUV,Dubai,0.19208136619461652,False
lexus,rx-series,2019,180754,260235,SUV,Dubai,0.17287813691444898,False
bmw,7-series,2005,170338,144138,Sedan,Dubai,0.13432141463064828,False
kia,optima,2018,38552,187129,Sedan,Dubai,0.20338021756344354,False
mercedes-benz,g-class,2022,146553,295444,SUV,Dubai,0.12008791197459323,False
hyundai,tucson,2011,127541,173773,SUV,Dubai,0.19885633217434995,False
porsche,panamera,2016,462714,223210,Coupe,Al Ain,0.043023577400540525,False
mercedes-benz,s-class,2019,178418,94331,Sedan,Dubai,0.1786076934741151,False
bmw,7-series,2008,132980,286429,Sedan,Abu Dhabi,0.13097807017676133,False
lexus,rx-series,2016,189744,221868,SUV,Sharjah,0.1890541868515057,False
mitsubishi,l200,2012,60242,11841,Pick Up Truck,Dubai,0.15559538151671692,False
jeep,grand-cherokee,2020,30436,175616,SUV,Dubai,0.17798500101785536,False
rolls-royce,cullinan,2013,1981429,124899,SUV,Dubai,-0.04202341709231183,True
toyota,rav-4,2007,140395,157956,SUV,Dubai,0.17457560153795376,False
mini,cooper,2010,40705,171102,Coupe,Sharjah,0.2019188723370815,False
lexus,is-series,2009,20692,254465,Sedan,Abu Dhabi,0.16895825695849098,False
nissan,patrol,2020,79833,101268,SUV,Dubai,0.2007241076247453,False
mercedes-benz,cla,2011,96722,131299,Sports Car,Abu Dhabi,0.20194356584113482,False
mercedes-benz,s-class,2006,24889,26807,Sedan,Dubai,0.14797183626952037,False
mclaren,675lt,2017,2020344,271466,Coupe,Dubai,-0.036899622198648285,True
toyota,prado,2009,42832,73152,SUV,Dubai,0.1962737042665127,False
bmw,3-series,2022,30246,218922,Sedan,Dubai,0.1661964695549879,False
jeep,wrangler-unlimited,2012,123326,30661,SUV,Sharjah,0.18763363759212476,False
toyota,prado,2008,67486,202525,SUV,Dubai,0.19382119831112365,False
cadillac,escalade,2020,534239,90559,SUV,Dubai,0.13505105531041472,False
toyota,rav-4,2015,51827,298467,SUV,Sharjah,0.14820529345668898,False
ford,pickup,2020,130055,28294,Pick Up Truck,Dubai,0.15322040507686163,False
peugeot,308,2012,54556,34568,Hatchback,Dubai,0.18162721758394018,False
alfa-romeo,giulietta,2009,49710,109374,Hatchback,Dubai,0.19328352255924647,False
hyundai,elantra,2008,34226,94062,Sedan,Dubai,0.18127025601764463,False
dodge,charger,2019,148520,234089,Sedan,Dubai,0.18687921689587966,False
nissan,altima,2010,66876,157802,Sedan,Dubai,0.20376790120466165,False
bmw,x1,2011,45080,207064,SUV,Dubai,0.19367736931920537,False
toyota,fortuner,2015,23669,297364,SUV,Dubai,0.15333562902153275,False
bmw,x5,2007,49240,14253,SUV,Dubai,0.1340343991704137,False
fiat,fiat-500,2008,38765,179219,Hatchback,Dubai,0.19091177080900767,False
mercedes-benz,s-class,2014,77821,115714,Sedan,Dubai,0.19197965907597847,False
chevrolet,suburban,2014,19162,256645,SUV,Abu Dhabi,0.157805783081425,False
volvo,v-class,2014,70938,87848,Hatchback,Dubai,0.20581998573278343,False
porsche,cayenne,2016,28674,161170,SUV,Dubai,0.05454340016915937,False
porsche,cayman,2012,90179,51783,Coupe,Dubai,0.05765839167317677,False
toyota,hiace,2010,144051,267606,Van,Dubai,0.1823311557078386,False
kia,sorento,2009,14460,78915,SUV,Dubai,0.18755381192918563,False
jeep,cherokee,2020,42305,190110,SUV,Sharjah,0.20535089338783818,False
mazda,6,2010,50776,207152,Sedan,Dubai,0.1946844120315115,False
audi,s7rs7,2010,755287,71520,Sedan,Dubai,0.11268726421419195,False
porsche,carrera,2018,861457,53492,Coupe,Dubai,0.014366375623723338,False
mercedes-benz,x-class,2020,183619,239663,SUV,Dubai,0.16270103231095778,False
lexus,rx-series,2019,153329,72552,SUV,Sharjah,0.19955000600608924,False
bmw,x5,2017,66942,72730,SUV,Dubai,0.1834451642894147,False
mercedes-benz,m-class,2010,21558,235235,SUV,Dubai,0.18730843995802937,False
porsche,cayenne,2010,88412,192328,SUV,Abu Dhabi,0.057082490910537964,False
bmw,x5,2010,219655,258690,SUV,Sharjah,0.1738630838733639,False
infiniti,q50,2007,55904,192639,Sedan,Dubai,0.17891657935798244,False
gmc,acadia,2021,18506,113368,SUV,Sharjah,0.1830430519122408,False
bmw,5-series,2014,91558,77060,Sedan,Dubai,0.21629316059201276,False
porsche,panamera,2018,91417,108115,Sedan,Abu Dhabi,0.05969373609361295,False
hyundai,veracruz,2006,15930,282535,SUV,Dubai,0.1313193407734045,False
mercedes-benz,c-class-coupe,2013,112106,228387,Coupe,Sharjah,0.1926628763678957,False
mercedes-benz,c-class,2014,136414,141265,Sedan,Sharjah,0.19933720842008706,False
nissan,pathfinder,2008,51087,22689,SUV,Dubai,0.1693547688504849,False
nissan,navara,2013,36465,75699,Pick Up Truck,Dubai,0.200894502396799,False
land-rover,range-rover,2006,119170,78839,SUV,Sharjah,0.15552732803649222,False
dodge,ram,2007,47613,244130,Pick Up Truck,Dubai,0.15354081074630338,False
audi,a8,2017,107876,79527,Sedan,Dubai,0.2129141242515219,False
nissan,tiida,2012,12792,190223,Sedan,Dubai,0.18547564493177826,False
mercedes-benz,gla,2008,81892,97229,SUV,Dubai,0.18483002010859934,False
lamborghini,urus,2012,1018515,92770,Sports Car,Dubai,0.041962575683927805,False
toyota,camry,2007,10588,240470,Sedan,Dubai,0.150557300482353,False
rolls-royce,cullinan,2007,2062071,162118,SUV,Dubai,-0.05582618966027575,True
tesla,model-3,2015,285134,34620,Sedan,Dubai,0.13619639005175815,False
mercedes-benz,c-class,2024,85359,221427,Sedan,Sharjah,0.13410575517379675,False
chevrolet,blazer,2013,147777,260804,SUV,Sharjah,0.18949764126098056,False
renault,other,2014,79413,169738,Hatchback,Dubai,0.20693850374462647,False
ford,bronco,2010,279409,100858,SUV,Dubai,0.18555987301961663,False
alfa-romeo,giulia,2013,126527,123751,Sedan,Dubai,0.20062936449704277,False
jeep,grand-cherokee,2011,350835,60693,SUV,Dubai,0.15611717974021821,False
bmw,4-series,2005,92057,256276,Coupe,Dubai,0.1538097644168656,False
mercedes-benz,s-class,2012,57996,107641,Sedan,Abu Dhabi,0.20988497243238535,False
lexus,ls-series,2015,20376,93384,Sedan,Sharjah,0.1770565120619736,False
toyota,fj-cruiser,2018,70541,265715,SUV,Dubai,0.19261154132948183,False
mitsubishi,pajero,2021,56639,247205,SUV,Dubai,0.18413410860654933,False
nissan,altima,2012,47470,152397,Sedan,Dubai,0.20265326921683746,False
ford,f-series-pickup,2012,408161,81576,Pick Up Truck,Dubai,0.16159819082855725,False
hyundai,sonata,2013,36806,291017,Sedan,Dubai,0.1521586427561245,False
rolls-royce,ghost,2013,1384716,36406,Sedan,Dubai,-0.04313384471239823,True
cadillac,escalade,2020,264125,28272,SUV,Dubai,0.14158043528268371,False
mercedes-benz,cls-class,2011,231221,144818,Sedan,Dubai,0.1964220123405666,False
mitsubishi,pajero,2009,36054,278350,SUV,Dubai,0.16260786207580358,False
maybach,57,2020,362759,31884,Sedan,Dubai,-0.030160755569658693,True
mclaren,mp412c,2016,341896,82615,Coupe,Dubai,0.05754108317907092,False
land-rover,range-rover-sport,2012,347268,184930,SUV,Dubai,0.1409010719360444,False
bmw,x5,2011,158358,271847,SUV,Dubai,0.17372070498129588,False
porsche,panamera,2006,68080,212159,Sedan,Sharjah,0.028972528232574568,False
land-rover,defender,2019,313982,57510,SUV,Dubai,0.15253701301050943,False
mercedes-benz,gl-class,2011,38428,138727,SUV,Abu Dhabi,0.18277201779196145,False
bentley,continental-flying-spur,2005,91199,121489,Sedan,Dubai,-0.03619928299452235,True
cadillac,ats,2015,44129,173074,Sedan,Ajman,0.20474229963146667,False
volkswagen,jetta,2008,27273,17549,Sedan,Dubai,0.14135181129790353,False
honda,hr-v,2009,69207,275154,SUV,Dubai,0.16047022765956492,False
audi,a8,2009,26111,225590,Sedan,Dubai,0.1846854245848889,False
hyundai,sonata,2012,28308,52790,Sedan,Dubai,0.18546778750785775,False
lamborghini,huracan,2022,709675,147381,Coupe,Dubai,-0.008726301291913874,True
rolls-royce,cullinan,2013,2015267,75356,SUV,Dubai,-0.0521891216543513,True
bmw,3-series,2011,33313,195913,Sedan,Dubai,0.19656615796991878,False
bmw,5-series,2009,245274,132569,Sedan,Dubai,0.17238674819064276,False
audi,q7,2008,147247,106776,SUV,Dubai,0.195296327054179,False
gmc,savana,2010,93220,197118,Van,Dubai,0.20807367929770865,False
land-rover,range-rover,2006,141659,294473,SUV,Sharjah,0.10756174501716498,False
nissan,patrol,2020,101879,148390,SUV,Abu Dhabi,0.20674093584208786,False
